date,open,high,low,close,volume
11/10/2011,1.834,1.8514,1.806,1.8407,576016
12/10/2011,1.8166,1.8666,1.8133,1.8533,1123341
13/10/2011,1.842,1.898,1.8294,1.8627,1043836
14/10/2011,1.8667,1.9033,1.8173,1.87,1400470
17/10/2011,1.8573,1.8667,1.8173,1.828,754440
18/10/2011,1.82,1.8951,1.7806,1.8893,999670
19/10/2011,1.868,1.8707,1.82,1.838,792851
20/10/2011,1.8294,1.8314,1.8,1.8227,999670
21/10/2011,1.8267,1.8867,1.8007,1.8687,1142576
24/10/2011,1.858,1.926,1.85,1.9033,940531
25/10/2011,1.882,1.924,1.8533,1.8833,654358
26/10/2011,1.8793,1.8913,1.8266,1.8653,510469
27/10/2011,1.8893,1.93,1.874,1.9173,869318
28/10/2011,1.9,2,1.8673,1.9913,1264969
31/10/2011,1.9667,1.9673,1.9167,1.958,1133970
1/11/2011,1.8926,1.928,1.8666,1.9253,635762
2/11/2011,1.9333,1.9507,1.8833,1.914,875522
3/11/2011,2,2.166,1.9687,2.164,2510606
4/11/2011,2.0973,2.16,2.034,2.154,3033110
7/11/2011,2.1094,2.1334,2.05,2.0847,1266295
8/11/2011,2.0914,2.1334,2.048,2.1227,1167853
9/11/2011,2.058,2.0994,2.02,2.0587,953676
10/11/2011,2.0627,2.1,2.0434,2.0887,747288
11/11/2011,2.1267,2.3,2.038,2.2427,3875196
14/11/2011,2.2,2.236,2.1747,2.2147,1325681
15/11/2011,2.1947,2.2933,2.182,2.262,890906
16/11/2011,2.232,2.3333,2.2268,2.3293,1833106
17/11/2011,2.3,2.3266,2.2126,2.2453,1349242
18/11/2011,2.2426,2.274,2.1693,2.1733,902713
21/11/2011,2.1626,2.1626,2.07,2.1173,1031506
22/11/2011,2.1173,2.186,2.07,2.138,732519
23/11/2011,2.1174,2.1367,2.0834,2.0967,451822
25/11/2011,2.1034,2.1607,2.072,2.1107,239600
28/11/2011,2.1334,2.2187,2.1207,2.1707,681137
29/11/2011,2.166,2.2047,2.1087,2.1167,591066
30/11/2011,2.1667,2.1954,2.148,2.1827,760980
1/12/2011,2.1713,2.266,2.132,2.1733,1030090
2/12/2011,2.1887,2.246,2.16,2.22,802719
5/12/2011,2.2354,2.3334,2.2287,2.2947,1160071
6/12/2011,2.28,2.332,2.2688,2.3247,951827
7/12/2011,2.3086,2.326,2.2533,2.2793,674233
8/12/2011,2.056,2.11,1.974,2.0593,3305884
9/12/2011,2.036,2.0746,2.0186,2.0693,1239421
12/12/2011,2.0293,2.0413,2.0013,2.0273,758643
13/12/2011,2.038,2.062,1.9274,1.9633,993996
14/12/2011,1.9667,1.9787,1.8667,1.902,1163841
15/12/2011,1.9113,1.9447,1.8747,1.908,700262
16/12/2011,1.9194,1.9287,1.8654,1.8667,1029628
19/12/2011,1.8727,1.9,1.8247,1.85,986953
20/12/2011,1.87,1.8967,1.8477,1.86,844382
21/12/2011,1.8607,1.8713,1.7353,1.838,1705809
22/12/2011,1.84,1.87,1.82,1.8513,1009781
23/12/2011,1.8667,1.8667,1.8347,1.86,591391
27/12/2011,1.844,1.918,1.8427,1.9047,777420
28/12/2011,1.9327,1.9493,1.8694,1.9007,575151
29/12/2011,1.906,1.956,1.9032,1.9153,488140
30/12/2011,1.8993,1.932,1.8833,1.904,339860
3/01/2012,1.9293,1.9667,1.8433,1.872,928053
4/01/2012,1.8806,1.9113,1.8333,1.8473,630023
5/01/2012,1.8507,1.862,1.79,1.808,1005433
6/01/2012,1.8133,1.8527,1.7607,1.794,986288
9/01/2012,1.8,1.8327,1.7414,1.8167,896972
10/01/2012,1.8293,1.8506,1.8166,1.8413,671718
11/01/2012,1.8413,1.892,1.82,1.882,672240
12/01/2012,1.8986,1.908,1.8536,1.8833,729285
13/01/2012,1.8933,1.8999,1.5093,1.5193,5506299
17/01/2012,1.7746,1.8226,1.7606,1.7733,4652286
18/01/2012,1.7793,1.792,1.75,1.7873,1260156
19/01/2012,1.8127,1.8493,1.774,1.784,1246223
20/01/2012,1.7933,1.8,1.76,1.7733,662275
23/01/2012,1.7874,1.814,1.7734,1.7847,594547
24/01/2012,1.7753,1.8453,1.7627,1.828,857915
25/01/2012,1.818,1.8674,1.8034,1.8647,611126
26/01/2012,1.8713,1.972,1.8666,1.9293,1271003
27/01/2012,1.9,1.9813,1.9,1.9553,748347
30/01/2012,1.966,1.974,1.9019,1.9713,728965
31/01/2012,1.9933,2,1.9247,1.938,956714
1/02/2012,1.938,1.98,1.9333,1.972,523170
2/02/2012,1.9814,2.0587,1.9737,2.0167,805627
3/02/2012,2.0274,2.0887,2.0167,2.0767,764434
